timestamp,sensor_id,value,priority
2026-04-14T08:11:44Z,TEMP-001,34.693,HIGH
2026-04-14T08:11:44Z,PRES-002,36.378,HIGH
2026-04-14T08:11:44Z,TEMP-003,36.848,HIGH
2026-04-14T08:11:44Z,ACCEL-004,28.763,MEDIUM
2026-04-14T08:11:44Z,HUM-005,26.771,LOW
2026-04-14T08:11:44Z,FLOW-006,46.79,LOW
2026-04-14T08:11:44Z,HUM-007,40.219,MEDIUM
2026-04-14T08:11:44Z,HUM-008,27.203,LOW
2026-04-14T08:11:44Z,HUM-009,42.937,LOW
2026-04-14T08:11:44Z,HUM-010,42.976,MEDIUM
2026-04-14T08:11:44Z,TEMP-011,41.5,HIGH
2026-04-14T08:11:44Z,TEMP-012,41.744,LOW
2026-04-14T08:11:44Z,TEMP-001,34.791,HIGH
2026-04-14T08:11:44Z,PRES-002,36.54,MEDIUM
2026-04-14T08:11:44Z,TEMP-003,36.776,LOW
2026-04-14T08:11:44Z,ACCEL-004,28.891,LOW
2026-04-14T08:11:44Z,HUM-005,26.844,LOW
2026-04-14T08:11:44Z,FLOW-006,46.632,LOW
2026-04-14T08:11:44Z,HUM-007,40.29,LOW
2026-04-14T08:11:44Z,HUM-008,27.132,
2026-04-14T08:11:44Z,HUM-009,42.765,HIGH
2026-04-14T08:11:44Z,HUM-010,43.066,LOW
2026-04-14T08:11:44Z,TEMP-011,41.541,MEDIUM
2026-04-14T08:11:44Z,TEMP-012,41.686,HIGH
2026-04-14T08:11:44Z,TEMP-001,34.883,MEDIUM
2026-04-14T08:11:44Z,PRES-002,36.577,LOW
2026-04-14T08:11:44Z,TEMP-003,36.585,HIGH
2026-04-14T08:11:44Z,ACCEL-004,29.086,HIGH
2026-04-14T08:11:44Z,HUM-005,27.042,HIGH
2026-04-14T08:11:44Z,FLOW-006,46.76,LOW
2026-04-14T08:11:44Z,HUM-007,40.287,HIGH
2026-04-14T08:11:44Z,HUM-008,27.314,HIGH
2026-04-14T08:11:44Z,HUM-009,42.621,HIGH
2026-04-14T08:11:44Z,HUM-010,43.225,MEDIUM
2026-04-14T08:11:44Z,TEMP-011,41.37,LOW
2026-04-14T08:11:44Z,TEMP-012,41.52,MEDIUM
2026-04-14T08:11:44Z,TEMP-001,34.953,LOW
2026-04-14T08:11:44Z,PRES-002,36.61,LOW
2026-04-14T08:11:44.694590,CORRUPT,ERR,ERR
2026-04-14T08:11:44Z,ACCEL-004,29.189,HIGH
2026-04-14T08:11:44Z,HUM-005,27.227,HIGH
2026-04-14T08:11:44Z,FLOW-006,46.642,HIGH
2026-04-14T08:11:44Z,HUM-007,40.274,MEDIUM
2026-04-14T08:11:44Z,HUM-008,27.464,HIGH
2026-04-14T08:11:44Z,HUM-009,42.687,MEDIUM
2026-04-14T08:11:44Z,HUM-010,43.354,LOW
2026-04-14T08:11:44Z,TEMP-011,41.545,LOW
2026-04-14T08:11:44Z,TEMP-012,41.487,LOW
2026-04-14T08:11:44Z,TEMP-001,81.922,LOW
2026-04-14T08:11:44Z,PRES-002,36.605,LOW
2026-04-14T08:11:44Z,TEMP-003,36.521,MEDIUM
2026-04-14T08:11:44Z,ACCEL-004,29.285,MEDIUM
2026-04-14T08:11:44Z,HUM-005,27.337,HIGH
2026-04-14T08:11:44Z,FLOW-006,46.621,MEDIUM
2026-04-14T08:11:44Z,HUM-007,40.098,HIGH
2026-04-14T08:11:44Z,HUM-008,27.402,LOW
2026-04-14T08:11:44Z,HUM-009,97.119,LOW
2026-04-14T08:11:44Z,HUM-010,SYSTEM_HALT_ERR,HIGH
2026-04-14T08:11:44Z,TEMP-011,41.678,HIGH
2026-04-14T08:11:44Z,TEMP-012,41.432,HIGH
2026-04-14T08:11:44Z,TEMP-001,81.874,HIGH
2026-04-14T08:11:44Z,PRES-002,36.621,LOW
2026-04-14T08:11:44Z,TEMP-003,36.324,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.273,MEDIUM
2026-04-14T08:11:44Z,HUM-005,27.17,MEDIUM
2026-04-14T08:11:44Z,FLOW-006,46.768,MEDIUM
2026-04-14T08:11:44Z,HUM-007,40.147,HIGH
2026-04-14T08:11:44Z,HUM-008,27.562,HIGH
2026-04-14T08:11:44Z,HUM-009,97.057,MEDIUM
2026-04-14T08:11:44Z,HUM-010,43.593,HIGH
2026-04-14T08:11:44Z,TEMP-011,41.749,HIGH
2026-04-14T08:11:44Z,TEMP-012,41.314,MEDIUM
2026-04-14T08:11:44Z,TEMP-001,81.824,HIGH
2026-04-14T08:11:44Z,PRES-002,36.815,MEDIUM
2026-04-14T08:11:44Z,TEMP-003,36.482,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.431,LOW
2026-04-14T08:11:44Z,HUM-005,SYSTEM_HALT_ERR,LOW
2026-04-14T08:11:44Z,FLOW-006,46.863,HIGH
2026-04-14T08:11:44Z,HUM-007,40.015,MEDIUM
2026-04-14T08:11:44Z,HUM-008,27.727,MEDIUM
2026-04-14T08:11:44Z,HUM-009,97.166,MEDIUM
2026-04-14T08:11:44Z,HUM-010,43.774,LOW
2026-04-14T08:11:44Z,TEMP-011,41.733,HIGH
2026-04-14T08:11:44Z,TEMP-012,41.189,HIGH
2026-04-14T08:11:44Z,TEMP-001,81.895,LOW
2026-04-14T08:11:44Z,PRES-002,36.715,MEDIUM
2026-04-14T08:11:44Z,TEMP-003,36.672,MEDIUM
2026-04-14T08:11:44Z,ACCEL-004,SYSTEM_HALT_ERR,LOW
2026-04-14T08:11:44Z,HUM-005,27.14,HIGH
2026-04-14T08:11:44Z,FLOW-006,46.774,MEDIUM
2026-04-14T08:11:44Z,HUM-007,40.199,MEDIUM
2026-04-14T08:11:44Z,HUM-008,27.879,MEDIUM
2026-04-14T08:11:44Z,HUM-009,97.272,MEDIUM
2026-04-14T08:11:44Z,HUM-010,43.906,LOW
2026-04-14T08:11:44Z,TEMP-011,41.537,MEDIUM
2026-04-14T08:11:44Z,TEMP-012,41.001,LOW
2026-04-14T08:11:44Z,TEMP-001,82.084,LOW
2026-04-14T08:11:44Z,PRES-002,36.836,LOW
2026-04-14T08:11:44Z,TEMP-003,36.863,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.538,MEDIUM
2026-04-14T08:11:44Z,HUM-005,26.977,LOW
2026-04-14T08:11:44Z,FLOW-006,46.668,HIGH
2026-04-14T08:11:44Z,HUM-007,40.242,MEDIUM
2026-04-14T08:11:44Z,HUM-008,27.976,HIGH
2026-04-14T08:11:44Z,HUM-009,97.114,MEDIUM
2026-04-14T08:11:44Z,HUM-010,44.054,HIGH
2026-04-14T08:11:44Z,TEMP-011,41.554,LOW
2026-04-14T08:11:44Z,TEMP-012,40.861,LOW
2026-04-14T08:11:44Z,TEMP-001,81.93,HIGH
2026-04-14T08:11:44Z,PRES-002,36.757,HIGH
2026-04-14T08:11:44Z,TEMP-003,36.988,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.684,LOW
2026-04-14T08:11:44Z,HUM-005,26.853,LOW
2026-04-14T08:11:44Z,FLOW-006,46.542,HIGH
2026-04-14T08:11:44Z,HUM-007,40.353,HIGH
2026-04-14T08:11:44Z,HUM-008,28.039,LOW
2026-04-14T08:11:44Z,HUM-009,97.2,HIGH
2026-04-14T08:11:44Z,HUM-010,43.856,MEDIUM
2026-04-14T08:11:44Z,TEMP-011,41.503,HIGH
2026-04-14T08:11:44Z,TEMP-012,40.676,HIGH
2026-04-14T08:11:44Z,TEMP-001,81.966,HIGH
2026-04-14T08:11:44Z,PRES-002,36.744,MEDIUM
2026-04-14T08:11:44Z,TEMP-003,36.911,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.485,HIGH
2026-04-14T08:11:44Z,HUM-005,27.032,MEDIUM
2026-04-14T08:11:44Z,FLOW-006,46.349,LOW
2026-04-14T08:11:44Z,HUM-007,40.16,HIGH
2026-04-14T08:11:44Z,HUM-008,27.921,HIGH
2026-04-14T08:11:44Z,HUM-009,97.013,HIGH
2026-04-14T08:11:44Z,HUM-010,43.739,HIGH
2026-04-14T08:11:44Z,TEMP-011,41.402,LOW
2026-04-14T08:11:44Z,TEMP-012,SYSTEM_HALT_ERR,LOW
2026-04-14T08:11:44Z,TEMP-001,82.059,HIGH
2026-04-14T08:11:44Z,PRES-002,36.824,MEDIUM
2026-04-14T08:11:44Z,TEMP-003,36.891,HIGH
2026-04-14T08:11:44Z,ACCEL-004,29.637,MEDIUM
2026-04-14T08:11:44Z,HUM-005,27.095,MEDIUM
2026-04-14T08:11:44Z,FLOW-006,46.182,LOW
2026-04-14T08:11:44Z,HUM-007,40.216,LOW
2026-04-14T08:11:44Z,HUM-008,28.01,LOW
2026-04-14T08:11:44Z,HUM-009,96.988,MEDIUM
2026-04-14T08:11:44Z,HUM-010,43.655,MEDIUM
2026-04-14T08:11:44Z,TEMP-011,41.531,LOW
2026-04-14T08:11:44Z,TEMP-012,40.586,HIGH
2026-04-14T08:11:44Z,TEMP-001,82.123,MEDIUM
2026-04-14T08:11:44Z,PRES-002,37.001,HIGH
2026-04-14T08:11:44Z,TEMP-003,37.084,LOW
2026-04-14T08:11:44Z,ACCEL-004,29.464,LOW
2026-04-14T08:11:44Z,HUM-005,27.252,HIGH
2026-04-14T08:11:44Z,FLOW-006,46.04,LOW
2026-04-14T08:11:44Z,HUM-007,40.088,LOW
2026-04-14T08:11:44Z,HUM-008,28.087,LOW
2026-04-14T08:11:44Z,HUM-009,97.18,HIGH
2026-04-14T08:11:44Z,HUM-010,SYSTEM_HALT_ERR,MEDIUM
2026-04-14T08:11:44Z,TEMP-011,41.421,HIGH
2026-04-14T08:11:44Z,TEMP-012,104.294,LOW
2026-04-14T08:11:44Z,TEMP-001,SYSTEM_HALT_ERR,HIGH
2026-04-14T08:11:44Z,PRES-002,37.004,HIGH
2026-04-14T08:11:44Z,TEMP-003,37.202,HIGH
